ID;Name Deutsch;Name Latein;Pflanzenfamilie;Jan;Feb;Mar;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Wuchsform;rot;orange;gelb;grün;blau;violett;rosa;weiss;Funddatum;Notizen
109;Skabiosen-Flockenblume;Centaurea scabiosa L.;Asteraceae;0;0;0;0;0;1;1;1;0;0;0;0;Strauch;0;0;0;0;0;1;0;0;02.05.2026;
110;Feld-Witwenblume;Knautia arvensis (L.) Coult.;Caprifoliaceae;0;0;0;0;1;1;1;1;1;0;0;0;Strauch;0;0;0;0;0;1;0;0;02.05.2026;
111;Gemeine Akelei;Aquilegia vulgaris L.;Ranunculaceae;0;0;0;0;1;1;1;0;0;0;0;0;Strauch;0;0;0;0;0;1;0;0;02.05.2026;
112;Weisser Mauerpfeffer;Sedum album L.;Crassulaceae;0;0;0;0;0;1;1;1;1;0;0;0;Sukkulente;0;0;0;0;0;0;0;1;02.05.2026;
113;Gemeiner Schneeball;Viburnum opulus L.;Adoxaceae;0;0;0;0;1;1;0;0;0;0;0;0;Strauch;0;0;0;0;0;0;0;1;02.05.2026;
114;Rote Heckenkirsche;Lonicera xylosteum L.;Caprifoliaceae;0;0;0;1;1;0;0;0;0;0;0;0;Strauch;0;0;0;0;0;0;0;1;02.05.2026;
115;Färber-Waid;Isatis tinctoria L.;Brassicaceae;0;0;0;1;1;1;0;0;0;0;0;0;Zweijähriges Kraut;0;0;1;0;0;0;0;0;17.05.2026;
116;Hopfenklee;Medicago lupulina L.;Fabaceae;0;0;0;0;1;1;1;1;1;0;0;0;Einjähriges Kraut;0;0;1;0;0;0;0;0;17.05.2026;
117;Venuskamm;Scandix pecten-veneris L.;Apiaceae;0;0;0;0;1;1;0;0;0;0;0;0;Einjähriges Kraut;0;0;0;0;0;0;0;1;17.05.2026;
118;Purgier-Kreuzdorn;Rhamnus cathartica L.;Rhamnaceae;0;0;0;0;1;0;0;0;0;0;0;0;Baumartiger Strauch;0;0;1;1;0;0;0;0;17.05.2026;
119;Echte Salbei;Salvia officinalis L.;Lamiaceae;0;0;0;0;1;1;1;0;0;0;0;0;Halbstrauch;0;0;0;0;0;1;0;0;24.05.2026;
120;Echte Nelkenwurz;Geum urbanum L.;Rosaceae;0;0;0;0;1;1;1;1;0;0;0;0;Staude;0;0;1;0;0;0;0;0;24.05.2026;
121;Saat-Luzerne;Medicago sativa L.;Fabaceae;0;0;0;0;0;1;1;1;0;0;0;0;Staude;0;0;0;0;0;1;0;0;15.06.2026;
122;Rapunzel-Glockenblume;Campanula rapunculus L.;Campanulaceae;0;0;0;0;1;1;1;0;0;0;0;0;Zweijähriges Kraut;0;0;0;0;0;1;0;1;15.06.2026;
123;Echter Lavendel;Lavandula angustifolia Mill.;Lamiaceae;0;0;0;0;0;0;1;1;0;0;0;0;Halbstrauch;0;0;0;0;0;1;0;0;15.06.2026;
124;Gemeiner Natterkopf;Echium vulgare L.;Boraginaceae;0;0;0;0;1;1;1;1;1;1;0;0;Zweijähriges Kraut;0;0;0;0;0;1;0;0;15.06.2026;
125;Hunds-Rose;Rosa canina L.;Rosaceae;0;0;0;0;0;1;0;0;0;0;0;0;Strauch;0;0;1;0;0;0;1;1;;
126;Bereifte Rose;Rosa glauca Pourr.;Rosaceae;0;0;0;0;0;1;1;0;0;0;0;0;Strauch;0;0;1;0;0;0;1;1;;
127;Hagebuche;Carpinus betulus L.;Betulaceae;0;0;0;0;1;0;0;0;0;0;0;0;Baum;0;0;0;1;0;0;0;0;24.06.2026;
128;Schwärzliche Flockenblume;Centaurea nigrescens Willd.;Asteraceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;0;0;0;1;0;0;24.06.2026;
129;Gemeiner Liguster;Ligustrum vulgare L.;Oleaceae;0;0;0;0;1;1;1;0;0;0;0;0;Strauch;0;0;0;0;0;0;0;1;24.06.2026;
130;Echtes Johanniskraut;Hypericum perforatum L.;Hypericaceae;0;0;0;0;0;1;1;1;1;0;0;0;Halbstrauch;0;0;1;0;0;0;0;0;24.06.2026;
131;Sal-Weide;Salix caprea L.;Salicaceae;0;0;1;1;1;0;0;0;0;0;0;0;Baum;0;0;0;1;0;0;0;0;24.06.2026;
132;Kleiner Odermennig;Agrimonia eupatoria L.;Rosaceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;1;0;0;0;0;0;24.06.2026;
133;Kleinköpfiger Pippau;Crepis capillaris Wallr.;Asteraceae;0;0;0;0;0;1;1;1;1;0;0;0;Einjähriges Kraut;0;0;1;0;0;0;0;0;27.07.2026;
134;Wilde Möhre;Daucus carota L.;Apiaceae;0;0;0;0;0;1;1;1;0;0;0;0;Zweijähriges Kraut;0;0;0;0;0;0;0;1;24.06.2026;
135;Kleinblütige Bergminze;Clinopodium nepeta;Lamiaceae;0;0;0;0;0;0;1;1;1;0;0;0;Staude;0;0;0;0;0;0;1;1;27.07.2026;
136;Pastinak;Pastinaca sativa L.;Apiaceae;0;0;0;0;0;0;1;1;0;0;0;0;Zweijähriges Kraut;0;0;1;0;0;0;0;0;27.07.2026;
137;Schwarznessel;Ballota nigra L.;Lamiaceae;0;0;0;0;0;1;1;1;0;0;0;0;Staude;0;0;0;0;0;1;1;0;27.07.2026;
138;Kleine Klette;Arctium minus Bernh.;Asteraceae;0;0;0;0;0;0;0;0;0;0;0;0;Zweijähriges Kraut;0;0;0;1;0;1;0;0;27.07.2026;
139;Gewöhnliches Bitterkraut;Picris hieracioides L.;Asteraceae;0;0;0;0;0;0;1;1;1;1;0;0;Zweijähriges Kraut;0;0;1;0;0;0;0;0;27.07.2026;
140;Einjähriges Berufkraut;Erigeron annuus (L.) Desf.;Asteraceae;0;0;0;0;0;1;1;1;1;1;0;0;Einjähriges Kraut;0;0;1;0;0;0;0;1;27.07.2026;
141;Weisse Lichtnelke;Silene latifolia;Caryophyllaceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;0;0;0;0;0;1;27.07.2026;
142;Echter Honigklee;Melilotus officinalis Lam.;Fabaceae;0;0;0;0;0;1;1;1;1;1;0;0;Zweijähriges Kraut;0;0;1;0;0;0;0;0;27.07.2026;
143;Ährige Minze;Mentha spicata aggr.;Lamiaceae;0;0;0;0;0;0;1;1;1;0;0;0;Staude;0;0;0;0;0;0;0;1;27.07.2026;
144;Straucheibisch;Hibiscus syriacus L.;Malvaceae;0;0;0;0;0;0;1;1;1;0;0;0;Strauch;0;0;0;0;0;1;1;0;24.06.2026;
145;Gemeines Pfaffenhütchen;Euonymus europaeus L.;Celastraceae;0;0;0;0;1;1;1;0;0;0;0;0;Strauch;0;0;0;0;0;0;0;1;24.06.2026;
146;Schwarzer Holunder;Sambucus nigra L.;Adoxaceae;0;0;0;0;1;1;0;0;0;0;0;0;Strauch;0;0;0;0;0;0;0;1;24.06.2026;
147;Kornelkirsche;Cornus mas L.;Cornaceae;0;0;1;0;0;0;0;0;0;0;0;0;Baumartiger Strauch;0;0;1;0;0;0;0;0;24.06.2026;
148;Faulbaum;Frangula alnus Mill.;Rhamnaceae;0;0;0;0;1;1;0;0;0;0;0;0;Baumartiger Strauch;0;0;1;1;0;0;0;0;24.06.2026;
149;Alpen-Johannisbeere;Ribes alpinum L.;Grossulariaceae;0;0;0;1;1;1;0;0;0;0;0;0;Strauch;0;0;1;1;0;0;0;0;24.06.2026;
150;Rosen;;;;;;;;;;;;;;;;;;;;;;;;17.05.2026;
151;"Himalaya-Zeder ""Golden Horizon""";Cedrus deodara;Pinaceae;0;0;0;0;0;0;0;0;1;1;0;0;Baum;1;0;1;0;0;0;0;0;03.08.2026;
152;Kamminze;Elsholtzia ciliata;Lamiaceae;0;0;0;0;0;0;1;1;1;1;0;0;Einjähriges Kraut;0;0;0;0;0;1;1;0;03.08.2026;
153;Roter Holunder;Sambucus racemosa L.;Adoxaceae;0;0;0;1;1;0;0;0;0;0;0;0;Strauch;0;0;1;1;0;0;0;0;03.08.2026;
154;Raue Nelke;Dianthus armeria L.;Caryophyllaceae;0;0;0;0;0;1;1;1;0;0;0;0;Zweijähriges Kraut;0;0;0;0;0;0;1;0;03.08.2026;
155;Gemeiner Beifuss;Artemisia vulgaris L.;Asteraceae;0;0;0;0;0;0;1;1;1;0;0;0;Staude;0;0;1;0;0;0;0;0;03.08.2026;
156;Schabenkraut;Verbascum blattaria L.;Scrophulariaceae;0;0;0;0;0;1;1;1;0;0;0;0;Zweijähriges Kraut;0;0;1;0;0;0;0;0;03.08.2026;
